param,value_type
total_result,int_value
from_screen,string_value
screen_name,string_value
from_view_id,string_value
view_id,string_value
screen_id,string_value
from_section,string_value
current_timer,int_value
pcoins,int_value
currency,string_value
input_code_strs,string_list
apply_from_list_strs,string_list
giftcard_id,string_value
package_id,string_value
shop_id,string_value
section,string_value
position,int_value
shop_name,string_value
show_ad_button,string_value
modal_trigger,string_value
modal,string_value
type,string_value
from_modal,string_value
rule_type,string_value
coupon_code,string_value
info_dict,dict_list
button_name,string_value
section_name,string_value
context,string_value
method,string_value
search_term,string_value
valid_total,int_value
expired_total,int_value
transaction_id,string_value
ks_locale_strs,string_list
ks_primary_count,int_value
ks_count_ints,int_list
curation_id,string_value
card_type,string_value
item_number,int_value
shipping,int_value
subtotal,int_value
value,int_value
form_name,string_value
filled_field_strs,string_list
cta_page,string_value
has_badge,int_value
tids_strs,string_list
fee,string_value
sid,string_value
pb_id,string_value
pb_checksum,string_value
banner_type,string_value
page_location,string_value
virtual_page_view,int_value
page_title,string_value
page_referrer,string_value
custom_page_view,int_value
campaign,string_value
term,string_value
medium,string_value
source,string_value
collection_id,string_value
from_position,int_value
list_object,string_value
sat_status,string_value
item_id,string_value
item_name,string_value
item_brand,string_value
item_subcategory_id,int_value
item_category_id,int_value
tab,string_value
is_pl,int_value
promoted_type,string_value
total_page,int_value
result_view_type,string_value
filters_dict,dict_list
from_card_type,string_value
from_card_seed,string_value
from_card_position,int_value
resumable,int_value
status,string_value
sortby,string_value
order,string_value
from_suggestion_scope,string_value
from_suggestion_search_term,string_value
from_suggestion_type,string_value
page,int_value
action,string_value
element_content,string_value
section_trigger,string_value
entity_name,string_value
interaction,string_value
promo_type,string_value
pb_fees_strs,string_list
pb_checksums_strs,string_list
sids_strs,string_list
pb_fs_dbls,double_list
pb_total,int_value
pb_ids_strs,string_list
pl_total,int_value
from_banner_type,string_value
content,string_value
from_unit_id,string_value
from_unit_title,string_value
from_tid,string_value
banner_image_url,string_value
url,string_value
quantity,int_value
action_type,string_value
location_id,string_value
parse_error,error_msg
is_owned_item,int_value
is_owned_shop,int_value
page_id,string_value
link_click_source,string_value
http_url,string_value
screen_type,string_value
card_position,int_value
card_seed,string_value
is_personal,int_value
section_type,string_value
step,int_value
ur_sc_score,int_value
ur_sp_score,int_value
ur_sp_sc_score,int_value
video_id,string_value
form_filled,int_value
name,string_value
notification_sound_name,string_value
notification_sound_position,int_value
typing_id,string_value
typing_suggestion_keyword,string_value
f_dbl,string_value
info_dict_dict,dict_list
pl_fees_strs,string_list
pl_checksums_strs,string_list
badge_type_strs,string_list
items_strs,string_list
positions_ints,int_list
item_card_type_strs,string_list
http_referrer,string_value
aclid,string_value
fbclid,string_value
url_referrer_param,string_value
cp1,string_value
anid,string_value
gclid,string_value
broadcast_id,string_value
navi_name,string_value
click_navi,string_value
suggestion_strs,string_list
suggestion_scope,string_value
suggestion_type_strs,string_list
otag,string_value
from_section_position,int_value
error_message,string_value
item_location_id,string_value
position_ints,int_list
suggesiton_scope,string_value
click_button,string_value
search_scope,string_value
section_title,string_value
section_id,string_value
unit_title,string_value
unit_id,string_value
from_typing_id,string_value
otag_topic_strs,string_list
positions,int_value
modal_name,string_value
